ticker,date,open,high,low,close,volume
COMP51,2026-01-01,450.0,455.0,447.0,451.0,15000
COMP51,2026-01-02,450.5,455.5,447.5,451.5,15000
COMP51,2026-01-03,451.0,456.0,448.0,452.0,15000
COMP51,2026-01-04,451.5,456.5,448.5,452.5,15000
COMP51,2026-01-05,452.0,457.0,449.0,453.0,15000
COMP51,2026-01-06,452.5,457.5,449.5,453.5,15000
COMP51,2026-01-07,453.0,458.0,450.0,454.0,15000
COMP51,2026-01-08,453.5,458.5,450.5,454.5,15000
COMP51,2026-01-09,454.0,459.0,451.0,455.0,15000
COMP51,2026-01-10,454.5,459.5,451.5,455.5,15000
COMP51,2026-01-11,455.0,460.0,452.0,456.0,15000
COMP51,2026-01-12,455.5,460.5,452.5,456.5,15000
COMP51,2026-01-13,456.0,461.0,453.0,457.0,15000
COMP51,2026-01-14,456.5,461.5,453.5,457.5,15000
COMP51,2026-01-15,457.0,462.0,454.0,458.0,15000
COMP51,2026-01-16,457.5,462.5,454.5,458.5,15000
COMP51,2026-01-17,458.0,463.0,455.0,459.0,15000
COMP51,2026-01-18,458.5,463.5,455.5,459.5,15000
COMP51,2026-01-19,459.0,464.0,456.0,460.0,15000
COMP51,2026-01-20,459.5,464.5,456.5,460.5,15000
COMP51,2026-01-21,460.0,465.0,457.0,461.0,15000
COMP51,2026-01-22,460.5,465.5,457.5,461.5,15000
COMP51,2026-01-23,461.0,466.0,458.0,462.0,15000
COMP51,2026-01-24,461.5,466.5,458.5,462.5,15000
COMP51,2026-01-25,462.0,467.0,459.0,463.0,15000
COMP51,2026-01-26,462.5,467.5,459.5,463.5,15000
COMP51,2026-01-27,463.0,468.0,460.0,464.0,15000
COMP51,2026-01-28,463.5,468.5,460.5,464.5,15000
COMP51,2026-01-29,464.0,469.0,461.0,465.0,15000
COMP51,2026-01-30,464.5,469.5,461.5,465.5,15000
COMP51,2026-01-31,465.0,470.0,462.0,466.0,15000
COMP51,2026-02-01,465.5,470.5,462.5,466.5,15000
COMP51,2026-02-02,466.0,471.0,463.0,467.0,15000
COMP51,2026-02-03,466.5,471.5,463.5,467.5,15000
COMP51,2026-02-04,467.0,472.0,464.0,468.0,15000
COMP51,2026-02-05,467.5,472.5,464.5,468.5,15000
COMP51,2026-02-06,468.0,473.0,465.0,469.0,15000
COMP51,2026-02-07,468.5,473.5,465.5,469.5,15000
COMP51,2026-02-08,469.0,474.0,466.0,470.0,15000
COMP51,2026-02-09,469.5,474.5,466.5,470.5,15000
COMP51,2026-02-10,470.0,475.0,467.0,471.0,15000
COMP51,2026-02-11,470.5,475.5,467.5,471.5,15000
COMP51,2026-02-12,471.0,476.0,468.0,472.0,15000
COMP51,2026-02-13,471.5,476.5,468.5,472.5,15000
COMP51,2026-02-14,472.0,477.0,469.0,473.0,15000
COMP51,2026-02-15,472.5,477.5,469.5,473.5,15000
COMP51,2026-02-16,473.0,478.0,470.0,474.0,15000
COMP51,2026-02-17,473.5,478.5,470.5,474.5,15000
COMP51,2026-02-18,474.0,479.0,471.0,475.0,15000
COMP51,2026-02-19,474.5,479.5,471.5,475.5,15000
COMP51,2026-02-20,475.0,480.0,472.0,476.0,15000
COMP51,2026-02-21,475.5,480.5,472.5,476.5,15000
COMP51,2026-02-22,476.0,481.0,473.0,477.0,15000
COMP51,2026-02-23,476.5,481.5,473.5,477.5,15000
COMP51,2026-02-24,477.0,482.0,474.0,478.0,15000
COMP51,2026-02-25,477.5,482.5,474.5,478.5,15000
COMP51,2026-02-26,478.0,483.0,475.0,479.0,15000
COMP51,2026-02-27,478.5,483.5,475.5,479.5,15000
COMP51,2026-02-28,479.0,484.0,476.0,480.0,15000
COMP51,2026-03-01,479.5,484.5,476.5,480.5,15000
COMP52,2026-01-01,457.0,462.0,454.0,458.0,15100
COMP52,2026-01-02,457.5,462.5,454.5,458.5,15100
COMP52,2026-01-03,458.0,463.0,455.0,459.0,15100
COMP52,2026-01-04,458.5,463.5,455.5,459.5,15100
COMP52,2026-01-05,459.0,464.0,456.0,460.0,15100
COMP52,2026-01-06,459.5,464.5,456.5,460.5,15100
COMP52,2026-01-07,460.0,465.0,457.0,461.0,15100
COMP52,2026-01-08,460.5,465.5,457.5,461.5,15100
COMP52,2026-01-09,461.0,466.0,458.0,462.0,15100
COMP52,2026-01-10,461.5,466.5,458.5,462.5,15100
COMP52,2026-01-11,462.0,467.0,459.0,463.0,15100
COMP52,2026-01-12,462.5,467.5,459.5,463.5,15100
COMP52,2026-01-13,463.0,468.0,460.0,464.0,15100
COMP52,2026-01-14,463.5,468.5,460.5,464.5,15100
COMP52,2026-01-15,464.0,469.0,461.0,465.0,15100
COMP52,2026-01-16,464.5,469.5,461.5,465.5,15100
COMP52,2026-01-17,465.0,470.0,462.0,466.0,15100
COMP52,2026-01-18,465.5,470.5,462.5,466.5,15100
COMP52,2026-01-19,466.0,471.0,463.0,467.0,15100
COMP52,2026-01-20,466.5,471.5,463.5,467.5,15100
COMP52,2026-01-21,467.0,472.0,464.0,468.0,15100
COMP52,2026-01-22,467.5,472.5,464.5,468.5,15100
COMP52,2026-01-23,468.0,473.0,465.0,469.0,15100
COMP52,2026-01-24,468.5,473.5,465.5,469.5,15100
COMP52,2026-01-25,469.0,474.0,466.0,470.0,15100
COMP52,2026-01-26,469.5,474.5,466.5,470.5,15100
COMP52,2026-01-27,470.0,475.0,467.0,471.0,15100
COMP52,2026-01-28,470.5,475.5,467.5,471.5,15100
COMP52,2026-01-29,471.0,476.0,468.0,472.0,15100
COMP52,2026-01-30,471.5,476.5,468.5,472.5,15100
COMP52,2026-01-31,472.0,477.0,469.0,473.0,15100
COMP52,2026-02-01,472.5,477.5,469.5,473.5,15100
COMP52,2026-02-02,473.0,478.0,470.0,474.0,15100
COMP52,2026-02-03,473.5,478.5,470.5,474.5,15100
COMP52,2026-02-04,474.0,479.0,471.0,475.0,15100
COMP52,2026-02-05,474.5,479.5,471.5,475.5,15100
COMP52,2026-02-06,475.0,480.0,472.0,476.0,15100
COMP52,2026-02-07,475.5,480.5,472.5,476.5,15100
COMP52,2026-02-08,476.0,481.0,473.0,477.0,15100
COMP52,2026-02-09,476.5,481.5,473.5,477.5,15100
COMP52,2026-02-10,477.0,482.0,474.0,478.0,15100
COMP52,2026-02-11,477.5,482.5,474.5,478.5,15100
COMP52,2026-02-12,478.0,483.0,475.0,479.0,15100
COMP52,2026-02-13,478.5,483.5,475.5,479.5,15100
COMP52,2026-02-14,479.0,484.0,476.0,480.0,15100
COMP52,2026-02-15,479.5,484.5,476.5,480.5,15100
COMP52,2026-02-16,480.0,485.0,477.0,481.0,15100
COMP52,2026-02-17,480.5,485.5,477.5,481.5,15100
COMP52,2026-02-18,481.0,486.0,478.0,482.0,15100
COMP52,2026-02-19,481.5,486.5,478.5,482.5,15100
COMP52,2026-02-20,482.0,487.0,479.0,483.0,15100
COMP52,2026-02-21,482.5,487.5,479.5,483.5,15100
COMP52,2026-02-22,483.0,488.0,480.0,484.0,15100
COMP52,2026-02-23,483.5,488.5,480.5,484.5,15100
COMP52,2026-02-24,484.0,489.0,481.0,485.0,15100
COMP52,2026-02-25,484.5,489.5,481.5,485.5,15100
COMP52,2026-02-26,485.0,490.0,482.0,486.0,15100
COMP52,2026-02-27,485.5,490.5,482.5,486.5,15100
COMP52,2026-02-28,486.0,491.0,483.0,487.0,15100
COMP52,2026-03-01,486.5,491.5,483.5,487.5,15100
COMP53,2026-01-01,464.0,469.0,461.0,465.0,15200
COMP53,2026-01-02,464.5,469.5,461.5,465.5,15200
COMP53,2026-01-03,465.0,470.0,462.0,466.0,15200
COMP53,2026-01-04,465.5,470.5,462.5,466.5,15200
COMP53,2026-01-05,466.0,471.0,463.0,467.0,15200
COMP53,2026-01-06,466.5,471.5,463.5,467.5,15200
COMP53,2026-01-07,467.0,472.0,464.0,468.0,15200
COMP53,2026-01-08,467.5,472.5,464.5,468.5,15200
COMP53,2026-01-09,468.0,473.0,465.0,469.0,15200
COMP53,2026-01-10,468.5,473.5,465.5,469.5,15200
COMP53,2026-01-11,469.0,474.0,466.0,470.0,15200
COMP53,2026-01-12,469.5,474.5,466.5,470.5,15200
COMP53,2026-01-13,470.0,475.0,467.0,471.0,15200
COMP53,2026-01-14,470.5,475.5,467.5,471.5,15200
COMP53,2026-01-15,471.0,476.0,468.0,472.0,15200
COMP53,2026-01-16,471.5,476.5,468.5,472.5,15200
COMP53,2026-01-17,472.0,477.0,469.0,473.0,15200
COMP53,2026-01-18,472.5,477.5,469.5,473.5,15200
COMP53,2026-01-19,473.0,478.0,470.0,474.0,15200
COMP53,2026-01-20,473.5,478.5,470.5,474.5,15200
COMP53,2026-01-21,474.0,479.0,471.0,475.0,15200
COMP53,2026-01-22,474.5,479.5,471.5,475.5,15200
COMP53,2026-01-23,475.0,480.0,472.0,476.0,15200
COMP53,2026-01-24,475.5,480.5,472.5,476.5,15200
COMP53,2026-01-25,476.0,481.0,473.0,477.0,15200
COMP53,2026-01-26,476.5,481.5,473.5,477.5,15200
COMP53,2026-01-27,477.0,482.0,474.0,478.0,15200
COMP53,2026-01-28,477.5,482.5,474.5,478.5,15200
COMP53,2026-01-29,478.0,483.0,475.0,479.0,15200
COMP53,2026-01-30,478.5,483.5,475.5,479.5,15200
COMP53,2026-01-31,479.0,484.0,476.0,480.0,15200
COMP53,2026-02-01,479.5,484.5,476.5,480.5,15200
COMP53,2026-02-02,480.0,485.0,477.0,481.0,15200
COMP53,2026-02-03,480.5,485.5,477.5,481.5,15200
COMP53,2026-02-04,481.0,486.0,478.0,482.0,15200
COMP53,2026-02-05,481.5,486.5,478.5,482.5,15200
COMP53,2026-02-06,482.0,487.0,479.0,483.0,15200
COMP53,2026-02-07,482.5,487.5,479.5,483.5,15200
COMP53,2026-02-08,483.0,488.0,480.0,484.0,15200
COMP53,2026-02-09,483.5,488.5,480.5,484.5,15200
COMP53,2026-02-10,484.0,489.0,481.0,485.0,15200
