company_id,company_name,sector,P/E,P/B,EV/EBITDA,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
COMP02,Company Name 02,Financials,16.47671971400212,2.428269619420302,11.204169405521442,3.3217885574630728,20.456910273355177,15.928392712407977,Caution
COMP03,Company Name 03,Healthcare,10.539924746416062,2.7657132591933773,7.167148827562923,7.00201810209256,14.333227852764075,19.16800258370827,Caution
COMP04,Company Name 04,Energy,6.741096012152338,1.8423487440130886,4.58394528826359,14.002536322518095,10.012256669173338,21.695497729717626,Caution
COMP25,Company Name 25,Consumer Goods,3.2613934598682413,1.5559423691379666,2.2177475527104042,7.897596597580138,5.276381811875367,-10.120443528239655,Discount
COMP33,Company Name 33,Healthcare,7.79380783320422,2.9610197566107175,5.29978932657887,3.6849074439223717,10.59878758166267,-11.8805366878904,Discount
COMP37,Company Name 37,Financials,12.366205916663233,1.5745712368005684,8.409020023331,2.554283040341743,15.35344226581903,-12.992731517357047,Discount
COMP41,Company Name 41,Technology,19.98806423979764,2.1631366138437884,13.591883683062397,1.8163263591399945,22.587761844986332,-12.498464562093117,Discount
COMP45,Company Name 45,Consumer Goods,3.1464544833090087,2.9868531259902222,2.139589048650126,6.457285926137669,5.090430029959054,-13.288004989799473,Discount
COMP49,Company Name 49,Energy,4.84949580757289,1.5865020846294249,3.297657149149565,3.771400863298206,7.202745169920384,-12.453137445771027,Discount
COMP53,Company Name 53,Healthcare,7.5928620202998225,2.177506374178973,5.16314617380388,1.9736903602954996,10.325521672112695,-14.152498938808675,Discount
COMP57,Company Name 57,Financials,12.088847296015292,3.0043921694151035,8.220416161290398,0.7890766122019915,15.00908364865358,-14.944196351059455,Discount
COMP61,Company Name 61,Technology,19.594459559187342,1.5947968645485362,13.324232500247394,0.021208741410141705,22.142963955604152,-14.221543570433184,Discount
COMP65,Company Name 65,Consumer Goods,3.0916143180225757,2.187708469885221,2.1022977362553514,6.659815508336105,5.001707937933626,-14.79932516426924,Discount
COMP69,Company Name 69,Energy,4.7741514048525175,3.0170789126417468,3.246422955299712,3.8888575855157628,7.090839406041335,-13.813313086894466,Discount
COMP73,Company Name 73,Healthcare,7.487038485693362,1.6008979836625923,5.091186170271486,2.041224164974201,10.181612406136674,-15.348976100534891,Discount
COMP77,Company Name 77,Financials,11.93684850390879,2.195326393591999,8.117056982657978,0.8275301589105228,14.82036734433127,-16.013643180828595,Discount
COMP81,Company Name 81,Technology,20.339615423431656,3.2699809877035855,13.830938487933528,0.051797167864144976,22.4244260043334,-10.959482698519652,Discount
COMP84,Company Name 84,Energy,6.522203474730831,4.253850172878074,4.435098362816965,13.863352678426283,8.928244336559032,17.743879737211707,Caution
